country_iso3,country_name,region,rain_mean,bbox_minx,bbox_miny,bbox_maxx,bbox_maxy,start_date,end_date,drought_index,drought_level
SOM,Somalia,Awdal,321.0653968856742,42.68310546900017,9.657287598000153,44.23667671700019,11.511465902000111,2025-10-28,2025-11-27,4.22,MODERATE
SOM,Somalia,Bakool,374.52734076015724,42.885314941000104,3.251537018000022,44.80095672600015,4.960440000000119,2025-10-28,2025-11-27,0.98,NONE
SOM,Somalia,Banadir,390.67223243094645,45.20830255900012,1.96843519600003,45.60685550600016,2.184909530000027,2025-10-28,2025-11-27,0.0,NONE
SOM,Somalia,Bari,334.74138637262604,48.919128418000184,8.329104157000131,51.41303253200016,11.985202789000141,2025-10-28,2025-11-27,3.39,LOW
SOM,Somalia,Bay,333.066139953781,42.40091474000013,1.461714149000102,44.69110107400007,3.921508789000143,2025-10-28,2025-11-27,3.49,LOW
SOM,Somalia,Galgaduud,285.9520508157225,45.481148064000195,3.47233394400007,47.83482460700003,6.520982803000095,2025-10-28,2025-11-27,6.34,HIGH
SOM,Somalia,Gedo,271.6808772142232,40.994875075000095,1.232748162000178,43.14093017600004,4.307618680000019,2025-10-28,2025-11-27,7.21,HIGH
SOM,Somalia,Hiraan,312.77198130097474,44.5921196430001,3.201477051000097,46.396827698000095,5.432947894000165,2025-10-28,2025-11-27,4.72,MODERATE
SOM,Somalia,Lower Juba,297.94494766542414,40.995690614000125,-1.664897400999905,43.19128418000008,1.321726918000024,2025-10-28,2025-11-27,5.62,MODERATE
SOM,Somalia,Lower Shabelle,266.7952714808921,42.980918884000175,0.675563474000114,45.39096832300015,3.271484375000171,2025-10-28,2025-11-27,7.51,HIGH
SOM,Somalia,Middle Juba,225.61696251475408,41.420903370000076,0.311817259000122,43.520795364000094,1.951700354000081,2025-10-28,2025-11-27,10.0,EXTREME
SOM,Somalia,Middle Shabelle,274.2948346042052,45.07096458000018,2.151650667000183,47.03804830500002,3.891447164000169,2025-10-28,2025-11-27,7.05,HIGH
SOM,Somalia,Mudug,296.975861058408,46.53827408500018,4.332891012000118,49.65069580100004,7.711120605000019,2025-10-28,2025-11-27,5.68,MODERATE
SOM,Somalia,Nugaal,290.7568113631535,47.560173798000164,7.39929199200003,50.17608486900008,9.140529632000153,2025-10-28,2025-11-27,6.05,HIGH
SOM,Somalia,Sanaag,336.84204128236354,46.0110549260001,9.421081543000128,49.06105066500004,11.322547912000061,2025-10-28,2025-11-27,3.26,LOW
SOM,Somalia,Sool,304.6973806715765,46.0495305770001,8.000122070000145,49.08111190799997,10.050289796000186,2025-10-28,2025-11-27,5.21,MODERATE
SOM,Somalia,Togdheer,366.30297625166685,44.690954211000076,8.000122070000145,47.10107421900017,10.170898437000062,2025-10-28,2025-11-27,1.48,NONE
SOM,Somalia,Woqooyi Galbeed,341.4623865578892,43.28967285200008,8.771959543000037,46.031492600000036,10.867492676000097,2025-10-28,2025-11-27,2.98,LOW
