location,escalation_risk,risk_level,avg_goldstein,goldstein_trend,event_count,media_mentions,recent_change,first_seen,last_seen
SO,2.0,LOW,1.1819444444444445,0.08450704225352113,72,72,0.5694444444444444,2025-11-27,2025-11-27
SO02,1.8352941176470585,LOW,-2.8882352941176466,-1.1102230246251565e-16,17,17,3.705555555555555,2025-11-27,2025-11-27
SO05,1.6800000000000002,LOW,-4.0,0.0,2,2,0.0,2025-11-27,2025-11-27
SO00,0.7200000000000001,LOW,1.155555555555556,0.12352941176470583,18,18,2.9555555555555557,2025-11-27,2025-11-27
SO06,0.5680000000000001,LOW,-0.9199999999999999,1.35,5,5,1.8,2025-11-27,2025-11-27
"Puntland, Somalia (general), Somalia",0.48,LOW,2.566666666666667,0.0,12,12,0.9999999999999996,2025-11-27,2025-11-27
SO04,0.27999999999999997,LOW,5.2,0.0,7,7,0.6416666666666666,2025-11-27,2025-11-27
SO18,0.16000000000000003,LOW,1.6500000000000001,0.8000000000000002,4,4,2.3000000000000003,2025-11-27,2025-11-27
Somalia,0.12,LOW,0.1333333333333333,6.7,3,3,15.2,2025-11-27,2025-11-27
