date,event_code,goldstein,num_mentions,avg_tone,actor1,actor2,location,latitude,longitude,source_url
2025-11-03,71,7.4,3,3,SAUDI,HOSPITAL,"El Fasher, Shamal Darfur, Sudan",37080,13.6333,-1684
2025-11-03,110,-2.0,4,4,ISRAEL,HAMAS,"El-Fasher, Shamal Darfur, Sudan",37080,13.6333,-1684
2025-11-03,84,7.0,5,5,INTERNATIONAL COMMITTEE OF THE RED CROSS,CIVILIAN,"Tawila, Shamal Darfur, Sudan",37080,13.5,-15004
2025-10-27,51,3.4,4,4,RED CROSS,SUDAN,"Darfur, Gharb Darfur, Sudan",37140,13.5,-17505
2025-10-27,51,3.4,6,6,RED CROSS,SUDAN,"Fashir, Kassala, Sudan",68803,15.0667,-5808
2025-11-03,70,7.0,4,4,GOVERNMENT,,"Al Fashir, Shamal Darfur, Sudan",37080,13.6333,-1684
2025-11-03,110,-2.0,2,2,ADMINISTRATION,ARMY,"Khartoum, Al Khartum, Sudan",37069,15.5881,-1987
2025-11-03,90,-2.0,1,1,THE UN,ISRAEL,"Kadugli, Janub Kurdufan, Sudan",37149,11.0167,-8137
2025-11-03,138,-7.0,10,10,PARAMILITARY,SUDAN,"Kadugli, Janub Kurdufan, Sudan",37149,11.0167,-8137
2025-11-03,112,-2.0,1,1,AID GROUP,SUDAN,"Tawila, Shamal Darfur, Sudan",37080,13.5,-15004
2025-11-03,192,-9.5,5,5,REBEL FORCE,SUDAN,"El Fasher, Shamal Darfur, Sudan",37080,13.6333,-1684
2025-10-04,42,1.9,1,1,,DUBAI,Sudan,,16.0,SU
2025-10-04,43,2.8,1,1,DUBAI,,Sudan,,16.0,SU
2025-11-03,43,2.8,2,2,AFRICA,GUINEA,Sudan,,16.0,SU
2025-11-03,141,-6.5,3,3,GUINEA,,Sudan,,16.0,SU
2025-11-03,42,1.9,2,2,GUINEA,AFRICA,Sudan,,16.0,SU
2025-10-27,1121,-2.0,10,10,CIVILIAN,,"Fasher, Kassala, Sudan",68803,15.0667,-5808
2025-11-03,60,6.0,3,3,THE UN,AFRICA,"El Obeid, Shamal Kurdufan, Sudan",37087,13.1833,-2236
2025-11-03,94,-2.0,3,3,THE UN,,"Fasher, Kassala, Sudan",68803,15.0667,-5808
2025-11-03,1821,-9.0,2,2,PROSECUTOR,,"Fasher, Kassala, Sudan",68803,15.0667,-5808
2025-11-03,10,0.0,8,8,PROSECUTOR,PARAMILITARY,"Khartoum, Al Khartum, Sudan",37069,15.5881,-1987
2025-11-03,50,3.5,1,1,PARAMILITARY,SUDANESE,"Fasher, Kassala, Sudan",68803,15.0667,-5808
2025-11-03,13,0.4,3,3,INTERNATIONAL COMMITTEE OF THE RED CROSS,REUTERS,"Fasher, Kassala, Sudan",68803,15.0667,-5808
2025-11-03,1124,-2.0,10,10,HUMAN RIGHTS GROUP,SUDAN,"Fasher, Kassala, Sudan",68803,15.0667,-5808
2025-11-03,173,-5.0,4,4,HUMAN RIGHTS GROUP,SUDAN,"Fasher, Kassala, Sudan",68803,15.0667,-5808
