origin_location_code,origin_has_hrp,origin_in_gho,asylum_location_code,asylum_has_hrp,asylum_in_gho,population_group,gender,age_range,min_age,max_age,population,reference_period_start,reference_period_end
AFG,True,True,SDN,True,True,OOC,f,0-4,0,4,0,2020-01-01,2020-12-31
AFG,True,True,SDN,True,True,OOC,f,5-11,5,11,5,2020-01-01,2020-12-31
AFG,True,True,SDN,True,True,OOC,f,12-17,12,17,0,2020-01-01,2020-12-31
AFG,True,True,SDN,True,True,OOC,f,18-59,18,59,0,2020-01-01,2020-12-31
AFG,True,True,SDN,True,True,OOC,f,60+,60,None,0,2020-01-01,2020-12-31
AFG,True,True,SDN,True,True,OOC,f,all,None,None,5,2020-01-01,2020-12-31
AFG,True,True,SDN,True,True,OOC,m,0-4,0,4,0,2020-01-01,2020-12-31
AFG,True,True,SDN,True,True,OOC,m,5-11,5,11,0,2020-01-01,2020-12-31
AFG,True,True,SDN,True,True,OOC,m,12-17,12,17,0,2020-01-01,2020-12-31
AFG,True,True,SDN,True,True,OOC,m,18-59,18,59,0,2020-01-01,2020-12-31
AFG,True,True,SDN,True,True,OOC,m,60+,60,None,0,2020-01-01,2020-12-31
AFG,True,True,SDN,True,True,OOC,m,all,None,None,0,2020-01-01,2020-12-31
AFG,True,True,SDN,True,True,OOC,all,all,None,None,5,2020-01-01,2020-12-31
ARG,False,True,SDN,True,True,OOC,f,0-4,0,4,0,2020-01-01,2020-12-31
ARG,False,True,SDN,True,True,OOC,f,5-11,5,11,0,2020-01-01,2020-12-31
ARG,False,True,SDN,True,True,OOC,f,12-17,12,17,0,2020-01-01,2020-12-31
ARG,False,True,SDN,True,True,OOC,f,18-59,18,59,5,2020-01-01,2020-12-31
ARG,False,True,SDN,True,True,OOC,f,60+,60,None,0,2020-01-01,2020-12-31
ARG,False,True,SDN,True,True,OOC,f,all,None,None,5,2020-01-01,2020-12-31
ARG,False,True,SDN,True,True,OOC,m,0-4,0,4,0,2020-01-01,2020-12-31
ARG,False,True,SDN,True,True,OOC,m,5-11,5,11,0,2020-01-01,2020-12-31
ARG,False,True,SDN,True,True,OOC,m,12-17,12,17,0,2020-01-01,2020-12-31
ARG,False,True,SDN,True,True,OOC,m,18-59,18,59,0,2020-01-01,2020-12-31
ARG,False,True,SDN,True,True,OOC,m,60+,60,None,0,2020-01-01,2020-12-31
ARG,False,True,SDN,True,True,OOC,m,all,None,None,0,2020-01-01,2020-12-31
ARG,False,True,SDN,True,True,OOC,all,all,None,None,5,2020-01-01,2020-12-31
BDI,False,True,SDN,True,True,ASY,f,0-4,0,4,0,2020-01-01,2020-12-31
BDI,False,True,SDN,True,True,ASY,f,5-11,5,11,0,2020-01-01,2020-12-31
BDI,False,True,SDN,True,True,ASY,f,12-17,12,17,6,2020-01-01,2020-12-31
BDI,False,True,SDN,True,True,ASY,f,18-59,18,59,0,2020-01-01,2020-12-31
BDI,False,True,SDN,True,True,ASY,f,60+,60,None,0,2020-01-01,2020-12-31
BDI,False,True,SDN,True,True,ASY,f,all,None,None,6,2020-01-01,2020-12-31
BDI,False,True,SDN,True,True,ASY,m,0-4,0,4,0,2020-01-01,2020-12-31
BDI,False,True,SDN,True,True,ASY,m,5-11,5,11,0,2020-01-01,2020-12-31
BDI,False,True,SDN,True,True,ASY,m,12-17,12,17,0,2020-01-01,2020-12-31
BDI,False,True,SDN,True,True,ASY,m,18-59,18,59,6,2020-01-01,2020-12-31
BDI,False,True,SDN,True,True,ASY,m,60+,60,None,0,2020-01-01,2020-12-31
BDI,False,True,SDN,True,True,ASY,m,all,None,None,6,2020-01-01,2020-12-31
BDI,False,True,SDN,True,True,ASY,all,all,None,None,12,2020-01-01,2020-12-31
BDI,False,True,SDN,True,True,REF,f,0-4,0,4,9,2020-01-01,2020-12-31
BDI,False,True,SDN,True,True,REF,f,5-11,5,11,0,2020-01-01,2020-12-31
BDI,False,True,SDN,True,True,REF,f,12-17,12,17,0,2020-01-01,2020-12-31
BDI,False,True,SDN,True,True,REF,f,18-59,18,59,0,2020-01-01,2020-12-31
BDI,False,True,SDN,True,True,REF,f,60+,60,None,0,2020-01-01,2020-12-31
BDI,False,True,SDN,True,True,REF,f,all,None,None,9,2020-01-01,2020-12-31
BDI,False,True,SDN,True,True,REF,m,0-4,0,4,0,2020-01-01,2020-12-31
BDI,False,True,SDN,True,True,REF,m,5-11,5,11,0,2020-01-01,2020-12-31
BDI,False,True,SDN,True,True,REF,m,12-17,12,17,0,2020-01-01,2020-12-31
BDI,False,True,SDN,True,True,REF,m,18-59,18,59,8,2020-01-01,2020-12-31
BDI,False,True,SDN,True,True,REF,m,60+,60,None,0,2020-01-01,2020-12-31
BDI,False,True,SDN,True,True,REF,m,all,None,None,8,2020-01-01,2020-12-31
BDI,False,True,SDN,True,True,REF,all,all,None,None,17,2020-01-01,2020-12-31
CAF,True,True,SDN,True,True,REF,f,0-4,0,4,2480,2020-01-01,2020-12-31
CAF,True,True,SDN,True,True,REF,f,5-11,5,11,4101,2020-01-01,2020-12-31
CAF,True,True,SDN,True,True,REF,f,12-17,12,17,1980,2020-01-01,2020-12-31
CAF,True,True,SDN,True,True,REF,f,18-59,18,59,5923,2020-01-01,2020-12-31
CAF,True,True,SDN,True,True,REF,f,60+,60,None,830,2020-01-01,2020-12-31
CAF,True,True,SDN,True,True,REF,f,all,None,None,15314,2020-01-01,2020-12-31
CAF,True,True,SDN,True,True,REF,m,0-4,0,4,2472,2020-01-01,2020-12-31
CAF,True,True,SDN,True,True,REF,m,5-11,5,11,3561,2020-01-01,2020-12-31
CAF,True,True,SDN,True,True,REF,m,12-17,12,17,1712,2020-01-01,2020-12-31
CAF,True,True,SDN,True,True,REF,m,18-59,18,59,3340,2020-01-01,2020-12-31
CAF,True,True,SDN,True,True,REF,m,60+,60,None,529,2020-01-01,2020-12-31
CAF,True,True,SDN,True,True,REF,m,all,None,None,11614,2020-01-01,2020-12-31
CAF,True,True,SDN,True,True,REF,all,all,None,None,26928,2020-01-01,2020-12-31
CMR,True,True,SDN,True,True,REF,f,0-4,0,4,0,2020-01-01,2020-12-31
CMR,True,True,SDN,True,True,REF,f,5-11,5,11,0,2020-01-01,2020-12-31
CMR,True,True,SDN,True,True,REF,f,12-17,12,17,0,2020-01-01,2020-12-31
CMR,True,True,SDN,True,True,REF,f,18-59,18,59,0,2020-01-01,2020-12-31
CMR,True,True,SDN,True,True,REF,f,60+,60,None,0,2020-01-01,2020-12-31
CMR,True,True,SDN,True,True,REF,f,all,None,None,0,2020-01-01,2020-12-31
CMR,True,True,SDN,True,True,REF,m,0-4,0,4,0,2020-01-01,2020-12-31
CMR,True,True,SDN,True,True,REF,m,5-11,5,11,0,2020-01-01,2020-12-31
CMR,True,True,SDN,True,True,REF,m,12-17,12,17,0,2020-01-01,2020-12-31
CMR,True,True,SDN,True,True,REF,m,18-59,18,59,7,2020-01-01,2020-12-31
CMR,True,True,SDN,True,True,REF,m,60+,60,None,0,2020-01-01,2020-12-31
CMR,True,True,SDN,True,True,REF,m,all,None,None,7,2020-01-01,2020-12-31
CMR,True,True,SDN,True,True,REF,all,all,None,None,7,2020-01-01,2020-12-31
COD,True,True,SDN,True,True,ASY,f,0-4,0,4,9,2020-01-01,2020-12-31
COD,True,True,SDN,True,True,ASY,f,5-11,5,11,35,2020-01-01,2020-12-31
COD,True,True,SDN,True,True,ASY,f,12-17,12,17,32,2020-01-01,2020-12-31
COD,True,True,SDN,True,True,ASY,f,18-59,18,59,102,2020-01-01,2020-12-31
COD,True,True,SDN,True,True,ASY,f,60+,60,None,9,2020-01-01,2020-12-31
COD,True,True,SDN,True,True,ASY,f,all,None,None,187,2020-01-01,2020-12-31
COD,True,True,SDN,True,True,ASY,m,0-4,0,4,14,2020-01-01,2020-12-31
COD,True,True,SDN,True,True,ASY,m,5-11,5,11,51,2020-01-01,2020-12-31
COD,True,True,SDN,True,True,ASY,m,12-17,12,17,44,2020-01-01,2020-12-31
COD,True,True,SDN,True,True,ASY,m,18-59,18,59,115,2020-01-01,2020-12-31
COD,True,True,SDN,True,True,ASY,m,60+,60,None,17,2020-01-01,2020-12-31
COD,True,True,SDN,True,True,ASY,m,all,None,None,241,2020-01-01,2020-12-31
COD,True,True,SDN,True,True,ASY,all,all,None,None,428,2020-01-01,2020-12-31
COD,True,True,SDN,True,True,REF,f,0-4,0,4,0,2020-01-01,2020-12-31
COD,True,True,SDN,True,True,REF,f,5-11,5,11,17,2020-01-01,2020-12-31
COD,True,True,SDN,True,True,REF,f,12-17,12,17,14,2020-01-01,2020-12-31
COD,True,True,SDN,True,True,REF,f,18-59,18,59,89,2020-01-01,2020-12-31
COD,True,True,SDN,True,True,REF,f,60+,60,None,12,2020-01-01,2020-12-31
COD,True,True,SDN,True,True,REF,f,all,None,None,132,2020-01-01,2020-12-31
COD,True,True,SDN,True,True,REF,m,0-4,0,4,9,2020-01-01,2020-12-31
COD,True,True,SDN,True,True,REF,m,5-11,5,11,24,2020-01-01,2020-12-31
COD,True,True,SDN,True,True,REF,m,12-17,12,17,22,2020-01-01,2020-12-31
COD,True,True,SDN,True,True,REF,m,18-59,18,59,93,2020-01-01,2020-12-31
COD,True,True,SDN,True,True,REF,m,60+,60,None,29,2020-01-01,2020-12-31
COD,True,True,SDN,True,True,REF,m,all,None,None,177,2020-01-01,2020-12-31
COD,True,True,SDN,True,True,REF,all,all,None,None,309,2020-01-01,2020-12-31
COG,False,True,SDN,True,True,ASY,f,0-4,0,4,0,2020-01-01,2020-12-31
COG,False,True,SDN,True,True,ASY,f,5-11,5,11,5,2020-01-01,2020-12-31
COG,False,True,SDN,True,True,ASY,f,12-17,12,17,0,2020-01-01,2020-12-31
COG,False,True,SDN,True,True,ASY,f,18-59,18,59,0,2020-01-01,2020-12-31
COG,False,True,SDN,True,True,ASY,f,60+,60,None,0,2020-01-01,2020-12-31
COG,False,True,SDN,True,True,ASY,f,all,None,None,5,2020-01-01,2020-12-31
COG,False,True,SDN,True,True,ASY,m,0-4,0,4,0,2020-01-01,2020-12-31
COG,False,True,SDN,True,True,ASY,m,5-11,5,11,0,2020-01-01,2020-12-31
COG,False,True,SDN,True,True,ASY,m,12-17,12,17,0,2020-01-01,2020-12-31
COG,False,True,SDN,True,True,ASY,m,18-59,18,59,0,2020-01-01,2020-12-31
COG,False,True,SDN,True,True,ASY,m,60+,60,None,0,2020-01-01,2020-12-31
COG,False,True,SDN,True,True,ASY,m,all,None,None,0,2020-01-01,2020-12-31
COG,False,True,SDN,True,True,ASY,all,all,None,None,5,2020-01-01,2020-12-31
COG,False,True,SDN,True,True,REF,f,0-4,0,4,0,2020-01-01,2020-12-31
COG,False,True,SDN,True,True,REF,f,5-11,5,11,0,2020-01-01,2020-12-31
COG,False,True,SDN,True,True,REF,f,12-17,12,17,0,2020-01-01,2020-12-31
COG,False,True,SDN,True,True,REF,f,18-59,18,59,5,2020-01-01,2020-12-31
COG,False,True,SDN,True,True,REF,f,60+,60,None,0,2020-01-01,2020-12-31
COG,False,True,SDN,True,True,REF,f,all,None,None,5,2020-01-01,2020-12-31
COG,False,True,SDN,True,True,REF,m,0-4,0,4,0,2020-01-01,2020-12-31
COG,False,True,SDN,True,True,REF,m,5-11,5,11,0,2020-01-01,2020-12-31
COG,False,True,SDN,True,True,REF,m,12-17,12,17,0,2020-01-01,2020-12-31
COG,False,True,SDN,True,True,REF,m,18-59,18,59,0,2020-01-01,2020-12-31
COG,False,True,SDN,True,True,REF,m,60+,60,None,6,2020-01-01,2020-12-31
COG,False,True,SDN,True,True,REF,m,all,None,None,6,2020-01-01,2020-12-31
COG,False,True,SDN,True,True,REF,all,all,None,None,11,2020-01-01,2020-12-31
EGY,False,True,SDN,True,True,ASY,f,0-4,0,4,0,2020-01-01,2020-12-31
EGY,False,True,SDN,True,True,ASY,f,5-11,5,11,0,2020-01-01,2020-12-31
EGY,False,True,SDN,True,True,ASY,f,12-17,12,17,0,2020-01-01,2020-12-31
EGY,False,True,SDN,True,True,ASY,f,18-59,18,59,5,2020-01-01,2020-12-31
EGY,False,True,SDN,True,True,ASY,f,60+,60,None,0,2020-01-01,2020-12-31
EGY,False,True,SDN,True,True,ASY,f,all,None,None,5,2020-01-01,2020-12-31
EGY,False,True,SDN,True,True,ASY,m,0-4,0,4,0,2020-01-01,2020-12-31
EGY,False,True,SDN,True,True,ASY,m,5-11,5,11,0,2020-01-01,2020-12-31
EGY,False,True,SDN,True,True,ASY,m,12-17,12,17,0,2020-01-01,2020-12-31
EGY,False,True,SDN,True,True,ASY,m,18-59,18,59,6,2020-01-01,2020-12-31
EGY,False,True,SDN,True,True,ASY,m,60+,60,None,0,2020-01-01,2020-12-31
EGY,False,True,SDN,True,True,ASY,m,all,None,None,6,2020-01-01,2020-12-31
EGY,False,True,SDN,True,True,ASY,all,all,None,None,11,2020-01-01,2020-12-31
EGY,False,True,SDN,True,True,REF,f,0-4,0,4,0,2020-01-01,2020-12-31
EGY,False,True,SDN,True,True,REF,f,5-11,5,11,8,2020-01-01,2020-12-31
EGY,False,True,SDN,True,True,REF,f,12-17,12,17,0,2020-01-01,2020-12-31
EGY,False,True,SDN,True,True,REF,f,18-59,18,59,0,2020-01-01,2020-12-31
EGY,False,True,SDN,True,True,REF,f,60+,60,None,0,2020-01-01,2020-12-31
EGY,False,True,SDN,True,True,REF,f,all,None,None,8,2020-01-01,2020-12-31
EGY,False,True,SDN,True,True,REF,m,0-4,0,4,0,2020-01-01,2020-12-31
EGY,False,True,SDN,True,True,REF,m,5-11,5,11,9,2020-01-01,2020-12-31
EGY,False,True,SDN,True,True,REF,m,12-17,12,17,0,2020-01-01,2020-12-31
EGY,False,True,SDN,True,True,REF,m,18-59,18,59,0,2020-01-01,2020-12-31
EGY,False,True,SDN,True,True,REF,m,60+,60,None,0,2020-01-01,2020-12-31
EGY,False,True,SDN,True,True,REF,m,all,None,None,9,2020-01-01,2020-12-31
EGY,False,True,SDN,True,True,REF,all,all,None,None,17,2020-01-01,2020-12-31
ERI,False,False,SDN,True,True,ASY,f,0-4,0,4,453,2020-01-01,2020-12-31
ERI,False,False,SDN,True,True,ASY,f,5-11,5,11,793,2020-01-01,2020-12-31
ERI,False,False,SDN,True,True,ASY,f,12-17,12,17,399,2020-01-01,2020-12-31
ERI,False,False,SDN,True,True,ASY,f,18-59,18,59,2218,2020-01-01,2020-12-31
ERI,False,False,SDN,True,True,ASY,f,60+,60,None,45,2020-01-01,2020-12-31
ERI,False,False,SDN,True,True,ASY,f,all,None,None,3997,2020-01-01,2020-12-31
ERI,False,False,SDN,True,True,ASY,m,0-4,0,4,443,2020-01-01,2020-12-31
ERI,False,False,SDN,True,True,ASY,m,5-11,5,11,803,2020-01-01,2020-12-31
ERI,False,False,SDN,True,True,ASY,m,12-17,12,17,418,2020-01-01,2020-12-31
ERI,False,False,SDN,True,True,ASY,m,18-59,18,59,1814,2020-01-01,2020-12-31
ERI,False,False,SDN,True,True,ASY,m,60+,60,None,123,2020-01-01,2020-12-31
ERI,False,False,SDN,True,True,ASY,m,all,None,None,3601,2020-01-01,2020-12-31
ERI,False,False,SDN,True,True,ASY,all,all,None,None,7598,2020-01-01,2020-12-31
ERI,False,False,SDN,True,True,OOC,f,0-4,0,4,0,2020-01-01,2020-12-31
ERI,False,False,SDN,True,True,OOC,f,5-11,5,11,12,2020-01-01,2020-12-31
ERI,False,False,SDN,True,True,OOC,f,12-17,12,17,0,2020-01-01,2020-12-31
ERI,False,False,SDN,True,True,OOC,f,18-59,18,59,12,2020-01-01,2020-12-31
ERI,False,False,SDN,True,True,OOC,f,60+,60,None,0,2020-01-01,2020-12-31
ERI,False,False,SDN,True,True,OOC,f,all,None,None,24,2020-01-01,2020-12-31
ERI,False,False,SDN,True,True,OOC,m,0-4,0,4,0,2020-01-01,2020-12-31
ERI,False,False,SDN,True,True,OOC,m,5-11,5,11,7,2020-01-01,2020-12-31
ERI,False,False,SDN,True,True,OOC,m,12-17,12,17,12,2020-01-01,2020-12-31
ERI,False,False,SDN,True,True,OOC,m,18-59,18,59,5,2020-01-01,2020-12-31
ERI,False,False,SDN,True,True,OOC,m,60+,60,None,0,2020-01-01,2020-12-31
ERI,False,False,SDN,True,True,OOC,m,all,None,None,24,2020-01-01,2020-12-31
ERI,False,False,SDN,True,True,OOC,all,all,None,None,48,2020-01-01,2020-12-31
ERI,False,False,SDN,True,True,REF,f,0-4,0,4,1479,2020-01-01,2020-12-31
ERI,False,False,SDN,True,True,REF,f,5-11,5,11,8176,2020-01-01,2020-12-31
ERI,False,False,SDN,True,True,REF,f,12-17,12,17,8504,2020-01-01,2020-12-31
ERI,False,False,SDN,True,True,REF,f,18-59,18,59,35394,2020-01-01,2020-12-31
ERI,False,False,SDN,True,True,REF,f,60+,60,None,4491,2020-01-01,2020-12-31
ERI,False,False,SDN,True,True,REF,f,all,None,None,58044,2020-01-01,2020-12-31
ERI,False,False,SDN,True,True,REF,m,0-4,0,4,1549,2020-01-01,2020-12-31
ERI,False,False,SDN,True,True,REF,m,5-11,5,11,8316,2020-01-01,2020-12-31
ERI,False,False,SDN,True,True,REF,m,12-17,12,17,8741,2020-01-01,2020-12-31
ERI,False,False,SDN,True,True,REF,m,18-59,18,59,32894,2020-01-01,2020-12-31
ERI,False,False,SDN,True,True,REF,m,60+,60,None,5323,2020-01-01,2020-12-31
ERI,False,False,SDN,True,True,REF,m,all,None,None,56823,2020-01-01,2020-12-31
ERI,False,False,SDN,True,True,REF,all,all,None,None,114867,2020-01-01,2020-12-31
ETH,True,True,SDN,True,True,ASY,f,0-4,0,4,103,2020-01-01,2020-12-31
ETH,True,True,SDN,True,True,ASY,f,5-11,5,11,404,2020-01-01,2020-12-31
ETH,True,True,SDN,True,True,ASY,f,12-17,12,17,297,2020-01-01,2020-12-31
ETH,True,True,SDN,True,True,ASY,f,18-59,18,59,2477,2020-01-01,2020-12-31
ETH,True,True,SDN,True,True,ASY,f,60+,60,None,178,2020-01-01,2020-12-31
ETH,True,True,SDN,True,True,ASY,f,all,None,None,3459,2020-01-01,2020-12-31
ETH,True,True,SDN,True,True,ASY,m,0-4,0,4,120,2020-01-01,2020-12-31
ETH,True,True,SDN,True,True,ASY,m,5-11,5,11,476,2020-01-01,2020-12-31
ETH,True,True,SDN,True,True,ASY,m,12-17,12,17,295,2020-01-01,2020-12-31
ETH,True,True,SDN,True,True,ASY,m,18-59,18,59,2736,2020-01-01,2020-12-31
ETH,True,True,SDN,True,True,ASY,m,60+,60,None,267,2020-01-01,2020-12-31
ETH,True,True,SDN,True,True,ASY,m,all,None,None,3894,2020-01-01,2020-12-31
ETH,True,True,SDN,True,True,ASY,all,all,None,None,7353,2020-01-01,2020-12-31
ETH,True,True,SDN,True,True,OOC,f,0-4,0,4,25,2020-01-01,2020-12-31
ETH,True,True,SDN,True,True,OOC,f,5-11,5,11,217,2020-01-01,2020-12-31
ETH,True,True,SDN,True,True,OOC,f,12-17,12,17,242,2020-01-01,2020-12-31
ETH,True,True,SDN,True,True,OOC,f,18-59,18,59,908,2020-01-01,2020-12-31
ETH,True,True,SDN,True,True,OOC,f,60+,60,None,214,2020-01-01,2020-12-31
ETH,True,True,SDN,True,True,OOC,f,all,None,None,1606,2020-01-01,2020-12-31
ETH,True,True,SDN,True,True,OOC,m,0-4,0,4,38,2020-01-01,2020-12-31
ETH,True,True,SDN,True,True,OOC,m,5-11,5,11,267,2020-01-01,2020-12-31
ETH,True,True,SDN,True,True,OOC,m,12-17,12,17,254,2020-01-01,2020-12-31
ETH,True,True,SDN,True,True,OOC,m,18-59,18,59,915,2020-01-01,2020-12-31
ETH,True,True,SDN,True,True,OOC,m,60+,60,None,371,2020-01-01,2020-12-31
ETH,True,True,SDN,True,True,OOC,m,all,None,None,1845,2020-01-01,2020-12-31
ETH,True,True,SDN,True,True,OOC,all,all,None,None,3451,2020-01-01,2020-12-31
ETH,True,True,SDN,True,True,REF,f,0-4,0,4,798,2020-01-01,2020-12-31
ETH,True,True,SDN,True,True,REF,f,5-11,5,11,2247,2020-01-01,2020-12-31
ETH,True,True,SDN,True,True,REF,f,12-17,12,17,3101,2020-01-01,2020-12-31
ETH,True,True,SDN,True,True,REF,f,18-59,18,59,15797,2020-01-01,2020-12-31
ETH,True,True,SDN,True,True,REF,f,60+,60,None,1862,2020-01-01,2020-12-31
ETH,True,True,SDN,True,True,REF,f,all,None,None,23805,2020-01-01,2020-12-31
ETH,True,True,SDN,True,True,REF,m,0-4,0,4,1153,2020-01-01,2020-12-31
ETH,True,True,SDN,True,True,REF,m,5-11,5,11,2814,2020-01-01,2020-12-31
ETH,True,True,SDN,True,True,REF,m,12-17,12,17,3692,2020-01-01,2020-12-31
ETH,True,True,SDN,True,True,REF,m,18-59,18,59,27493,2020-01-01,2020-12-31
ETH,True,True,SDN,True,True,REF,m,60+,60,None,3541,2020-01-01,2020-12-31
ETH,True,True,SDN,True,True,REF,m,all,None,None,38693,2020-01-01,2020-12-31
ETH,True,True,SDN,True,True,REF,all,all,None,None,62498,2020-01-01,2020-12-31
IRQ,False,True,SDN,True,True,ASY,f,0-4,0,4,0,2020-01-01,2020-12-31
IRQ,False,True,SDN,True,True,ASY,f,5-11,5,11,0,2020-01-01,2020-12-31
IRQ,False,True,SDN,True,True,ASY,f,12-17,12,17,0,2020-01-01,2020-12-31
IRQ,False,True,SDN,True,True,ASY,f,18-59,18,59,8,2020-01-01,2020-12-31
IRQ,False,True,SDN,True,True,ASY,f,60+,60,None,0,2020-01-01,2020-12-31
IRQ,False,True,SDN,True,True,ASY,f,all,None,None,8,2020-01-01,2020-12-31
IRQ,False,True,SDN,True,True,ASY,m,0-4,0,4,0,2020-01-01,2020-12-31
IRQ,False,True,SDN,True,True,ASY,m,5-11,5,11,0,2020-01-01,2020-12-31
IRQ,False,True,SDN,True,True,ASY,m,12-17,12,17,0,2020-01-01,2020-12-31
IRQ,False,True,SDN,True,True,ASY,m,18-59,18,59,5,2020-01-01,2020-12-31
IRQ,False,True,SDN,True,True,ASY,m,60+,60,None,0,2020-01-01,2020-12-31
IRQ,False,True,SDN,True,True,ASY,m,all,None,None,5,2020-01-01,2020-12-31
IRQ,False,True,SDN,True,True,ASY,all,all,None,None,13,2020-01-01,2020-12-31
IRQ,False,True,SDN,True,True,REF,f,0-4,0,4,0,2020-01-01,2020-12-31
IRQ,False,True,SDN,True,True,REF,f,5-11,5,11,0,2020-01-01,2020-12-31
IRQ,False,True,SDN,True,True,REF,f,12-17,12,17,0,2020-01-01,2020-12-31
IRQ,False,True,SDN,True,True,REF,f,18-59,18,59,0,2020-01-01,2020-12-31
IRQ,False,True,SDN,True,True,REF,f,60+,60,None,0,2020-01-01,2020-12-31
IRQ,False,True,SDN,True,True,REF,f,all,None,None,0,2020-01-01,2020-12-31
IRQ,False,True,SDN,True,True,REF,m,0-4,0,4,0,2020-01-01,2020-12-31
IRQ,False,True,SDN,True,True,REF,m,5-11,5,11,0,2020-01-01,2020-12-31
IRQ,False,True,SDN,True,True,REF,m,12-17,12,17,0,2020-01-01,2020-12-31
IRQ,False,True,SDN,True,True,REF,m,18-59,18,59,9,2020-01-01,2020-12-31
IRQ,False,True,SDN,True,True,REF,m,60+,60,None,0,2020-01-01,2020-12-31
IRQ,False,True,SDN,True,True,REF,m,all,None,None,9,2020-01-01,2020-12-31
IRQ,False,True,SDN,True,True,REF,all,all,None,None,9,2020-01-01,2020-12-31
JOR,False,True,SDN,True,True,OOC,f,0-4,0,4,0,2020-01-01,2020-12-31
JOR,False,True,SDN,True,True,OOC,f,5-11,5,11,0,2020-01-01,2020-12-31
JOR,False,True,SDN,True,True,OOC,f,12-17,12,17,0,2020-01-01,2020-12-31
JOR,False,True,SDN,True,True,OOC,f,18-59,18,59,0,2020-01-01,2020-12-31
JOR,False,True,SDN,True,True,OOC,f,60+,60,None,0,2020-01-01,2020-12-31
JOR,False,True,SDN,True,True,OOC,f,all,None,None,0,2020-01-01,2020-12-31
JOR,False,True,SDN,True,True,OOC,m,0-4,0,4,0,2020-01-01,2020-12-31
JOR,False,True,SDN,True,True,OOC,m,5-11,5,11,0,2020-01-01,2020-12-31
JOR,False,True,SDN,True,True,OOC,m,12-17,12,17,6,2020-01-01,2020-12-31
JOR,False,True,SDN,True,True,OOC,m,18-59,18,59,0,2020-01-01,2020-12-31
JOR,False,True,SDN,True,True,OOC,m,60+,60,None,0,2020-01-01,2020-12-31
JOR,False,True,SDN,True,True,OOC,m,all,None,None,6,2020-01-01,2020-12-31
JOR,False,True,SDN,True,True,OOC,all,all,None,None,6,2020-01-01,2020-12-31
KWT,False,False,SDN,True,True,OOC,f,0-4,0,4,0,2020-01-01,2020-12-31
KWT,False,False,SDN,True,True,OOC,f,5-11,5,11,0,2020-01-01,2020-12-31
KWT,False,False,SDN,True,True,OOC,f,12-17,12,17,5,2020-01-01,2020-12-31
KWT,False,False,SDN,True,True,OOC,f,18-59,18,59,0,2020-01-01,2020-12-31
KWT,False,False,SDN,True,True,OOC,f,60+,60,None,0,2020-01-01,2020-12-31
KWT,False,False,SDN,True,True,OOC,f,all,None,None,5,2020-01-01,2020-12-31
KWT,False,False,SDN,True,True,OOC,m,0-4,0,4,0,2020-01-01,2020-12-31
KWT,False,False,SDN,True,True,OOC,m,5-11,5,11,0,2020-01-01,2020-12-31
KWT,False,False,SDN,True,True,OOC,m,12-17,12,17,0,2020-01-01,2020-12-31
KWT,False,False,SDN,True,True,OOC,m,18-59,18,59,0,2020-01-01,2020-12-31
KWT,False,False,SDN,True,True,OOC,m,60+,60,None,0,2020-01-01,2020-12-31
KWT,False,False,SDN,True,True,OOC,m,all,None,None,0,2020-01-01,2020-12-31
KWT,False,False,SDN,True,True,OOC,all,all,None,None,5,2020-01-01,2020-12-31
NGA,True,True,SDN,True,True,REF,f,0-4,0,4,0,2020-01-01,2020-12-31
NGA,True,True,SDN,True,True,REF,f,5-11,5,11,0,2020-01-01,2020-12-31
NGA,True,True,SDN,True,True,REF,f,12-17,12,17,7,2020-01-01,2020-12-31
NGA,True,True,SDN,True,True,REF,f,18-59,18,59,5,2020-01-01,2020-12-31
NGA,True,True,SDN,True,True,REF,f,60+,60,None,0,2020-01-01,2020-12-31
NGA,True,True,SDN,True,True,REF,f,all,None,None,12,2020-01-01,2020-12-31
NGA,True,True,SDN,True,True,REF,m,0-4,0,4,0,2020-01-01,2020-12-31
NGA,True,True,SDN,True,True,REF,m,5-11,5,11,0,2020-01-01,2020-12-31
NGA,True,True,SDN,True,True,REF,m,12-17,12,17,0,2020-01-01,2020-12-31
NGA,True,True,SDN,True,True,REF,m,18-59,18,59,0,2020-01-01,2020-12-31
NGA,True,True,SDN,True,True,REF,m,60+,60,None,0,2020-01-01,2020-12-31
NGA,True,True,SDN,True,True,REF,m,all,None,None,0,2020-01-01,2020-12-31
NGA,True,True,SDN,True,True,REF,all,all,None,None,12,2020-01-01,2020-12-31
PSE,False,True,SDN,True,True,OOC,f,0-4,0,4,5,2020-01-01,2020-12-31
PSE,False,True,SDN,True,True,OOC,f,5-11,5,11,11,2020-01-01,2020-12-31
PSE,False,True,SDN,True,True,OOC,f,12-17,12,17,11,2020-01-01,2020-12-31
PSE,False,True,SDN,True,True,OOC,f,18-59,18,59,45,2020-01-01,2020-12-31
PSE,False,True,SDN,True,True,OOC,f,60+,60,None,5,2020-01-01,2020-12-31
PSE,False,True,SDN,True,True,OOC,f,all,None,None,77,2020-01-01,2020-12-31
PSE,False,True,SDN,True,True,OOC,m,0-4,0,4,0,2020-01-01,2020-12-31
PSE,False,True,SDN,True,True,OOC,m,5-11,5,11,21,2020-01-01,2020-12-31
PSE,False,True,SDN,True,True,OOC,m,12-17,12,17,10,2020-01-01,2020-12-31
