isoab,name,pg_id,month_id,main_mean,main_mean_ln,main_dich
#country+code,#country+name,#priogrid+id,#date+month+id,#fatalities+pred+num,#fatalities+pred+ln+num,#fatalities+pred+prob
SDN,Sudan,146588,550,0.0556,0.0541,0.0438
SDN,Sudan,146589,550,0.0465,0.0455,0.0322
SDN,Sudan,146590,550,0.0325,0.0319,0.0198
SDN,Sudan,147286,550,0.1225,0.1155,0.3093
SDN,Sudan,147287,550,0.1202,0.1135,0.2931
SDN,Sudan,147288,550,0.1251,0.1179,0.328
SDN,Sudan,147289,550,0.3543,0.3033,0.9979
SDN,Sudan,147290,550,23.4387,3.1962,1.0
SDN,Sudan,147291,550,0.468,0.3839,0.9999
SDN,Sudan,147292,550,1.2119,0.7938,1.0
SDN,Sudan,147293,550,0.1493,0.1391,0.5178
SDN,Sudan,147294,550,0.4927,0.4006,0.9999
SDN,Sudan,147295,550,0.4492,0.371,0.9998
SDN,Sudan,147296,550,0.1209,0.1141,0.298
SDN,Sudan,147297,550,0.861,0.6211,1.0
SDN,Sudan,147298,550,1.3988,0.8749,1.0
SDN,Sudan,147299,550,9.2597,2.3282,1.0
SDN,Sudan,147300,550,4.8654,1.7691,1.0
SDN,Sudan,147301,550,0.4744,0.3882,0.9999
SDN,Sudan,147302,550,0.7018,0.5317,1.0
SDN,Sudan,147303,550,0.5634,0.4468,1.0
SDN,Sudan,147304,550,0.0832,0.0799,0.1067
SDN,Sudan,147305,550,0.0524,0.051,0.0393
SDN,Sudan,147306,550,0.0346,0.034,0.0213
SDN,Sudan,147307,550,0.046,0.0449,0.0316
SDN,Sudan,147308,550,0.0512,0.0499,0.0378
SDN,Sudan,147309,550,0.0679,0.0657,0.0658
SDN,Sudan,147310,550,0.0344,0.0339,0.0212
SDN,Sudan,147311,550,0.0533,0.0519,0.0406
SDN,Sudan,148005,550,0.0763,0.0735,0.0862
SDN,Sudan,148006,550,0.1323,0.1242,0.3821
SDN,Sudan,148007,550,1.3194,0.8413,1.0
SDN,Sudan,148008,550,0.1845,0.1693,0.767
SDN,Sudan,148009,550,1.0566,0.7211,1.0
SDN,Sudan,148010,550,11.0825,2.4918,1.0
SDN,Sudan,148011,550,0.5165,0.4164,1.0
SDN,Sudan,148012,550,1.4249,0.8858,1.0
SDN,Sudan,148013,550,0.1612,0.1494,0.6114
SDN,Sudan,148014,550,0.1774,0.1633,0.7246
SDN,Sudan,148015,550,0.0918,0.0878,0.138
SDN,Sudan,148016,550,0.1518,0.1413,0.5378
SDN,Sudan,148017,550,0.3874,0.3274,0.9991
SDN,Sudan,148018,550,0.2697,0.2388,0.9774
SDN,Sudan,148019,550,6.0574,1.9541,1.0
SDN,Sudan,148020,550,2.5954,1.2797,1.0
SDN,Sudan,148021,550,11.9307,2.5596,1.0
SDN,Sudan,148022,550,4.1326,1.6356,1.0
SDN,Sudan,148023,550,2.5578,1.2691,1.0
SDN,Sudan,148024,550,1.0557,0.7206,1.0
SDN,Sudan,148025,550,0.0765,0.0737,0.0868
SDN,Sudan,148026,550,0.0982,0.0937,0.166
SDN,Sudan,148027,550,0.0525,0.0512,0.0395
SDN,Sudan,148028,550,0.1995,0.1819,0.84
SDN,Sudan,148029,550,0.059,0.0573,0.0491
SDN,Sudan,148030,550,0.0744,0.0718,0.0811
SDN,Sudan,148031,550,0.1347,0.1264,0.4008
SDN,Sudan,148032,550,1.2604,0.8155,1.0
SDN,Sudan,148725,550,1.2592,0.815,1.0
SDN,Sudan,148726,550,0.1998,0.1822,0.8414
SDN,Sudan,148727,550,0.6139,0.4787,1.0
SDN,Sudan,148728,550,0.1434,0.134,0.4702
SDN,Sudan,148729,550,0.6232,0.4844,1.0
SDN,Sudan,148730,550,0.4908,0.3993,0.9999
SDN,Sudan,148731,550,3.1069,1.4127,1.0
SDN,Sudan,148732,550,1.5303,0.9283,1.0
SDN,Sudan,148733,550,0.2568,0.2285,0.9673
SDN,Sudan,148734,550,3.7174,1.5513,1.0
SDN,Sudan,148735,550,0.1725,0.1591,0.6928
SDN,Sudan,148736,550,0.5654,0.4481,1.0
SDN,Sudan,148737,550,0.1616,0.1498,0.6148
SDN,Sudan,148738,550,0.234,0.2103,0.9376
SDN,Sudan,148739,550,4.1792,1.6447,1.0
SDN,Sudan,148740,550,5.0914,1.8069,1.0
SDN,Sudan,148741,550,6.2291,1.9781,1.0
SDN,Sudan,148742,550,0.3477,0.2984,0.9975
SDN,Sudan,148743,550,0.1805,0.1659,0.7439
SDN,Sudan,148744,550,1.2294,0.8017,1.0
SDN,Sudan,148745,550,0.1491,0.139,0.5164
SDN,Sudan,148746,550,0.8039,0.5899,1.0
SDN,Sudan,148747,550,0.4449,0.368,0.9998
SDN,Sudan,148748,550,0.3763,0.3194,0.9988
SDN,Sudan,148749,550,0.3986,0.3355,0.9994
SDN,Sudan,148750,550,0.0694,0.0671,0.0691
SDN,Sudan,148751,550,0.0775,0.0746,0.0893
SDN,Sudan,148752,550,0.1327,0.1246,0.3853
SDN,Sudan,149445,550,0.164,0.1519,0.6327
SDN,Sudan,149446,550,0.1774,0.1633,0.7249
SDN,Sudan,149447,550,0.0982,0.0937,0.166
SDN,Sudan,149448,550,0.7898,0.5821,1.0
SDN,Sudan,149449,550,1.5969,0.9543,1.0
SDN,Sudan,149450,550,1.2609,0.8158,1.0
SDN,Sudan,149451,550,21.5558,3.116,1.0
SDN,Sudan,149452,550,0.5012,0.4063,1.0
SDN,Sudan,149453,550,2.0032,1.0997,1.0
