timestamp,avg_goldstein,event_count,mentions
2024-11-03,1.2000000000000002,2,3
2024-11-04,1.775,4,29
2024-11-05,-1.5,2,13
2024-11-06,7.3500000000000005,2,3
2024-11-07,6.4,1,1
2025-10-04,-3.325,4,10
2025-10-05,-9.0,2,16
2025-10-07,-8.25,4,12
2025-10-08,-3.8285714285714287,7,28
2025-10-09,-3.4499999999999997,6,19
2025-10-10,-2.6999999999999997,3,15
2025-10-27,-2.005263157894737,19,77
2025-10-28,-3.713043478260869,23,98
2025-10-29,-5.71,10,40
2025-10-30,-6.25,12,43
2025-10-31,-4.25,8,54
2025-11-01,-2.3333333333333335,3,28
2025-11-02,-4.05,2,8
2025-11-03,-1.1100746268656716,268,1366
2025-11-04,-1.0006644518272425,301,1516
2025-11-05,-1.3843003412969284,293,1396
2025-11-06,-0.4076923076923077,325,1579
2025-11-07,-0.7196875,320,1489
2025-11-08,-0.30259067357512953,193,1069
2025-11-09,-0.9700000000000001,170,799
2025-11-10,0.5149253731343284,67,308
